20技捞窍,1,452,5,137,456,59
20技捞窍,2,480,6,160,480,88
20技捞窍,3,521,8,160,547,90
20技捞窍,4,612,5,181,597,122
20技捞窍,5,644,9,204,634,114
20技捞窍,6,644,14,206,612,132
20技捞窍,7,709,5,200,677,129
20技捞窍,8,596,6,201,588,102
20技捞窍,9,640,13,201,562,115
20技捞窍,10,689,16,217,652,126
20技捞窍,11,578,11,176,577,92
20技捞窍,12,534,5,131,543,78
21-30技,1,2260,26,661,2616,297
21-30技,2,2315,29,615,2649,251
21-30技,3,2120,40,593,2374,226
21-30技,4,2238,23,645,2584,252
21-30技,5,2570,36,724,2937,288
21-30技,6,2700,32,737,3002,315
21-30技,7,2728,31,776,2991,333
21-30技,8,2582,36,779,2867,291
21-30技,9,2555,38,727,2796,257
21-30技,10,2760,34,753,3183,280
21-30技,11,2575,32,744,2922,233
21-30技,12,2372,28,616,2571,250
31-40技,1,2620,46,709,2982,278
31-40技,2,2580,33,676,2865,264
31-40技,3,2346,33,723,2571,222
31-40技,4,2478,29,712,2686,236
31-40技,5,2730,25,799,3041,301
31-40技,6,2858,31,807,3223,253
31-40技,7,2738,35,744,3021,283
31-40技,8,2604,30,735,2965,263
31-40技,9,2671,34,764,2822,250
31-40技,10,2783,32,830,3087,254
31-40技,11,2733,23,768,3058,243
31-40技,12,2465,32,620,2628,239
41-50技,1,3057,41,945,3351,290
41-50技,2,3080,47,845,3373,271
41-50技,3,2762,35,786,3010,217
41-50技,4,3006,39,913,3332,216
41-50技,5,3256,40,946,3504,285
41-50技,6,3391,47,1043,3725,292
41-50技,7,3281,38,878,3681,288
41-50技,8,3173,48,915,3546,316
41-50技,9,3239,41,908,3520,256
41-50技,10,3426,43,974,3743,296
41-50技,11,3345,48,963,3549,283
41-50技,12,3020,27,875,3145,257
51-60技,1,4218,58,1281,4739,332
51-60技,2,3961,50,1082,4269,337
51-60技,3,3608,61,1023,3995,234
51-60技,4,3874,45,1181,4197,288
51-60技,5,4416,56,1342,4888,338
51-60技,6,4555,53,1357,4894,358
51-60技,7,4359,49,1309,4883,381
51-60技,8,4225,70,1230,4699,344
51-60技,9,4372,78,1272,4624,339
51-60技,10,4492,75,1331,5005,337
51-60技,11,4351,66,1274,4630,312
51-60技,12,3990,54,1078,4229,291
61-64技,1,1529,29,495,1664,139
61-64技,2,1407,17,374,1495,119
61-64技,3,1262,14,387,1329,96
61-64技,4,1394,21,395,1530,106
61-64技,5,1554,21,496,1633,106
61-64技,6,1704,15,497,1861,126
61-64技,7,1549,26,448,1710,131
61-64技,8,1552,31,436,1752,119
61-64技,9,1550,36,429,1649,107
61-64技,10,1657,25,472,1767,120
61-64技,11,1632,24,470,1759,114
61-64技,12,1385,22,380,1435,91
65技捞惑,1,2527,72,799,2657,200
65技捞惑,2,2167,40,670,2174,167
65技捞惑,3,2097,48,648,2160,160
65技捞惑,4,2344,51,779,2369,192
65技捞惑,5,2708,67,915,2703,256
65技捞惑,6,2870,62,936,2903,272
65技捞惑,7,2648,56,808,2783,205
65技捞惑,8,2618,74,799,2812,217
65技捞惑,9,2801,61,858,2816,241
65技捞惑,10,3124,84,936,3230,242
65技捞惑,11,2902,57,858,3121,203
65技捞惑,12,2266,48,648,2361,171
